Node;IP;PASS;TECH;NODETYPE;SUBNW;C-RNC;C-BSC;STATE;RBSID;ENBID;REL;SITEID;OSS;FINGERPRINT;BBTYPE;TIMESTAMP;GNBID
CMI7262;10.72.16.52;BSC;-;BSC;AXE;;-;SYNCHRONIZED;-;-;G22.Q2;-;ENM-RAN1A;-;;2002_21May2025;-
CMI7263;10.72.17.164;BSC;-;BSC;AXE;;-;SYNCHRONIZED;-;-;G22.Q2;-;ENM-RAN1A;-;;2002_21May2025;-
CMI8362X;10.79.30.60;rnc;-;RNC;UNDEF;;-;SYNCHRONIZED;-;-;;-;ENM-RAN1A;X912387194;;2002_21May2025;-
CRI0001H_7NB04;10.141.249.178;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;512652;23.Q2;-;ENM-RAN1A;CRI0001H_7NB04;;2002_21May2025;512652
CRI0001I_6NB03;10.141.11.218;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;40622;23.Q2;-;ENM-RAN1A;CRI0001I_6NB03;;2002_21May2025;-
CRI0001L_6NB02;10.152.14.218;-;5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;-;23.Q2;-;ENM-RAN1A;CRI0001L_6NB02;;2002_21May2025;500972
CRI0001T_2NB01;10.68.145.130;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;45082;23.Q2;null;ENM-RAN1A;CRI0001T_2NB01;;2002_21May2025;-
CRI0001X_2NB01;10.69.145.130;-;3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;108232;-;23.Q2;null;ENM-RAN1A;CRI0001X_2NB01;;2002_21May2025;-
CRI0004T_2NB01;10.140.35.170;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;24762;23.Q2;null;ENM-RAN1A;CRI0004T_2NB01;;2002_21May2025;-
CRI0004X_2NB01;10.136.35.170;-;3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;24762;-;23.Q2;null;ENM-RAN1A;CRI0004X_2NB01;;2002_21May2025;-
CRI0005H_7NB02;10.142.30.238;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;519642;23.Q2;-;ENM-RAN1A;CRI0005H_7NB02;;2002_21May2025;519642
CRI0005T_2NB01;10.77.74.130;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;22932;23.Q2;null;ENM-RAN1A;CRI0005T_2NB01;;2002_21May2025;-
CRI0005X_2NB01;10.76.74.130;rbs;3G;RBS;UNDEF;CMI8362X;-;SYNCHRONIZED;1312;-;WRBS01.A28;-;ENM-RAN1A;409591_510367;;2002_21May2025;-
CRI0012T_2NB02;10.140.156.130;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;33252;23.Q2;null;ENM-RAN1A;CRI0012T_2NB02;;2002_21May2025;-
CRI0012X_2NB02;10.136.156.130;-;3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;33252;-;23.Q2;null;ENM-RAN1A;CRI0012X_2NB02;;2002_21May2025;-
CRI0013L_6NB01;10.183.122.222;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;357322;23.Q2;-;ENM-RAN1A;CRI0013L_6NB01;;2002_21May2025;500032
CRI0013P_9NB03;10.183.122.206;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;356442;23.Q2;-;ENM-RAN1A;CRI0013P_9NB03;;2002_21May2025;554252
CRI0013Q_9NB02;10.183.122.210;-;2G3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;356452;-;23.Q2;-;ENM-RAN1A;CRI0013Q_9NB02;;2002_21May2025;-
CRI0013T_2NB04;10.183.122.214;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;356452;23.Q2;-;ENM-RAN1A;CRI0013T_2NB04;;2002_21May2025;-
CRI0013X_2NB05;10.183.122.218;-;3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;356442;-;23.Q2;-;ENM-RAN1A;CRI0013X_2NB05;;2002_21May2025;-
CRI0015I_6NB03;10.141.48.142;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;41572;23.Q2;-;ENM-RAN1A;CRI0015I_6NB03;;2002_21May2025;-
CRI0015L_6NB02;10.152.76.142;-;5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;-;23.Q2;-;ENM-RAN1A;CRI0015L_6NB02;;2002_21May2025;502262
CRI0015T_2NB01;10.77.74.162;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;26982;23.Q2;-;ENM-RAN1A;CRI0015T_2NB01;;2002_21May2025;-
CRI0015X_2NB01;10.76.74.162;rbs;3G;RBS;UNDEF;CMI8362X;-;SYNCHRONIZED;2872;-;WRBS01.A28;-;ENM-RAN1A;J56066_969037;;2002_21May2025;-
CRI0020T_2NB01;10.77.78.130;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;11482;23.Q2;null;ENM-RAN1A;CRI0020T_2NB01;;2002_21May2025;-
CRI0020X_2NB01;10.76.78.130;-;3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;11482;-;23.Q2;null;ENM-RAN1A;CRI0020X_2NB01;;2002_21May2025;-
CRI0021L_6NB01;10.183.122.246;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;357332;23.Q2;-;ENM-RAN1A;CRI0021L_6NB01;;2002_21May2025;500062
CRI0021P_9NB03;10.183.122.230;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;356462;23.Q2;-;ENM-RAN1A;CRI0021P_9NB03;;2002_21May2025;554282
CRI0021Q_9NB02;10.183.122.234;-;2G3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;356472;-;23.Q2;-;ENM-RAN1A;CRI0021Q_9NB02;;2002_21May2025;-
CRI0021T_2NB04;10.183.122.238;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;356472;23.Q2;-;ENM-RAN1A;CRI0021T_2NB04;;2002_21May2025;-
CRI0021X_2NB05;10.183.122.242;-;3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;356462;-;23.Q2;-;ENM-RAN1A;CRI0021X_2NB05;;2002_21May2025;-
CRI0025L_6NB06;10.196.94.126;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;327212;23.Q2;-;ENM-RAN1A;CRI0025L_6NB06;;2002_21May2025;590912
CRI0025P_9NB01;10.221.100.202;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;179712;23.Q2;-;ENM-RAN1A;CRI0025P_9NB01;;2002_21May2025;568462
CRI0025Q_9NB02;10.221.100.206;-;2G3G4G5G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;179352;179352;23.Q2;-;ENM-RAN1A;CRI0025Q_9NB02;;2002_21May2025;568472
CRI0025Q_9NB03;10.221.100.210;-;2G3G4G5G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;179362;179362;23.Q2;-;ENM-RAN1A;CRI0025Q_9NB03;;2002_21May2025;568482
CRI0025T_2NB04;10.221.100.214;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;179922;23.Q2;-;ENM-RAN1A;CRI0025T_2NB04;;2002_21May2025;-
CRI0025X_2NB05;10.221.100.218;-;3G4G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;179342;179342;23.Q2;-;ENM-RAN1A;CRI0025X_2NB05;;2002_21May2025;-
CRI0029P_9NB02;10.183.51.106;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;345642;23.Q2;-;ENM-RAN1A;CRI0029P_9NB02;;2002_21May2025;596832
